Date,Flow Type,Account Head,Parent Head,Description,Amount
28/04/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
30/04/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
02/05/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
04/05/2026,Outflow,Payroll,People,Monthly payroll run,-20850
06/05/2026,Outflow,Contractors,People,Contractor invoice,-6725
08/05/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
10/05/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
12/05/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
14/05/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
16/05/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
18/05/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
20/05/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
22/05/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
24/05/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
26/05/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
28/05/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
30/05/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
01/06/2026,Outflow,Payroll,People,Bonus and payroll adjustment,-28400
03/06/2026,Outflow,Contractors,People,Contractor invoice,-6725
05/06/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
07/06/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
09/06/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
11/06/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
13/06/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
15/06/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
17/06/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
19/06/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
21/06/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
23/06/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
25/06/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
27/06/2026,Cash Out,Travel,Sales,Conference travel reimbursement,"(7,850.00)"
29/06/2026,Outflow,Payroll,People,Monthly payroll run,-20850
01/07/2026,Outflow,Contractors,People,Contractor invoice,-6725
03/07/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
05/07/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
07/07/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
09/07/2026,Revenue,Enterprise Subscription,Recurring Revenue,Expansion order,-4700
11/07/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
13/07/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
15/07/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
17/07/2026,Revenue,Enterprise Subscription,Recurring Revenue,Annual subscription invoice,40950
19/07/2026,Revenue,SMB Subscription,Recurring Revenue,Monthly subscription renewals,11100
21/07/2026,Revenue,Implementation Fees,Services,Customer onboarding milestone,8850
23/07/2026,Revenue,Partner Channel,Channel,Partner settlement,14700
25/07/2026,Revenue,Usage Overage,Variable Revenue,Usage overage invoice,7950
27/07/2026,Outflow,Payroll,People,Monthly payroll run,-20850
29/07/2026,Outflow,Contractors,People,Contractor invoice,-6725
31/07/2026,Outflow,Cloud Hosting,Infrastructure,Cloud compute and storage,-4425
02/08/2026,Outflow,Performance Marketing,Growth,Paid acquisition campaign,-8550
04/08/2026,Outflow,Payment Processing,G&A,Gateway fees,-2775
06/08/2026,Outflow,Legal and Audit,G&A,Compliance and audit work,-4700
08/08/2026,Outflow,Travel,Sales,Customer onsite travel,-3775
10/08/2026,Outflow,Office Costs,G&A,Workspace and utilities,-2750
12/08/2026,Outflow,Customer Success Tools,Operations,Support tooling bundle,-3625
31/04/2026,Revenue,Bad Date Example,Data Quality,Invalid date should skip,1200
12/05/2026,Adjustment,Manual Adjustment,Data Quality,Unknown flow label should be flagged,-950
14/05/2026,Revenue,Malformed Amount,Data Quality,Bad amount should skip,not available
